Course Name,Course ID,URL Before Change,Verified New URL,Verified Start Date,Verified Due Date,Verified Title,Errors
B 424D - R--- - Online Reference,16211,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-12-08T07:00:00.000Z,2018-12-22T06:59:00.000Z,Course Evaluation,
B 428 - R--- - Online Reference,23801,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-12-08T07:00:00.000Z,2018-12-22T06:59:00.000Z,Course Evaluation,
B 433 - R--- - Online Reference,17593,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-12-08T07:00:00.000Z,2018-12-22T06:59:00.000Z,Course Evaluation,
B 475 - R--- - Online Reference,53091,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-12-08T07:00:00.000Z,2018-12-22T06:59:00.000Z,Course Evaluation,
B 483 - R--- - Online Reference,68914,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-12-08T07:00:00.000Z,2018-12-22T06:59:00.000Z,Course Evaluation,
B 499E - D--- - Online Development,117483,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-12-08T07:00:00.000Z,2018-12-22T06:59:00.000Z,Course Evaluation,
BIO 180 - P--- - Online Pilot,280986,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-12-08T07:00:00.000Z,2018-12-22T06:59:00.000Z,Course Evaluation,
BIO 221 - R--- - Online Reference,67128,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-12-08T07:00:00.000Z,2018-12-22T06:59:00.000Z,Course Evaluation,
BIO 230 - R--- - Online Reference,17594,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-12-08T07:00:00.000Z,2018-12-22T06:59:00.000Z,Course Evaluation,
BIO 264 - R--- - Online Reference,118405,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-12-08T07:00:00.000Z,2018-12-22T06:59:00.000Z,Course Evaluation,
